title,url,year,citations
High-order Graph-based Neural Dependency Parsing,https://aclanthology.org/Y15-1014,2015,4
A Dynamic Syntax Modelling of Postposing in {J}apanese Narratives,https://aclanthology.org/Y15-1015,2015,1
Unsupervised and Lightly Supervised Part-of-Speech Tagging Using Recurrent Neural Networks,https://aclanthology.org/Y15-1016,2015,15
Identifying Prepositional Phrases in {C}hinese Patent Texts with Rule-based and {CRF} Methods,https://aclanthology.org/Y15-1017,2015,0
{J}apanese Sentiment Classification with Stacked Denoising Auto-Encoder using Distributed Word Representation,https://aclanthology.org/Y15-1018,2015,8
Is {W}ikipedia Really Neutral? A Sentiment Perspective Study of War-related {W}ikipedia Articles since 1945,https://aclanthology.org/Y15-1019,2015,4
A Comprehensive Filter Feature Selection for Improving Document Classification,https://aclanthology.org/Y15-1020,2015,6
Sentiment Analyzer with Rich Features for Ironic and Sarcastic Tweets,https://aclanthology.org/Y15-1021,2015,6
{T}hai Stock News Sentiment Classification using Wordpair Features,https://aclanthology.org/Y15-1022,2015,1
Sentiment Classification of {A}rabic Documents: Experiments with multi-type features and ensemble algorithms,https://aclanthology.org/Y15-1023,2015,24
The Invertible Construction in {C}hinese,https://aclanthology.org/Y15-1024,2015,0
Pan{'}s (2001) puzzle revisited,https://aclanthology.org/Y15-1025,2015,1
{E}nglish Right Dislocation,https://aclanthology.org/Y15-1026,2015,1
A Comparative Study on {M}andarin and {C}antonese Resultative Verb Compounds,https://aclanthology.org/Y15-1027,2015,0
Complex-{NP} Islands in {K}orean: An Experimental Approach,https://aclanthology.org/Y15-1028,2015,4
Two Types of Multiple Subject Constructions ({MSC}s) in {K}orean,https://aclanthology.org/Y15-1029,2015,1
A Large-scale Study of Statistical Machine Translation Methods for {K}hmer Language,https://aclanthology.org/Y15-1030,2015,7
{E}nglish to {C}hinese Translation: How {C}hinese Character Matters,https://aclanthology.org/Y15-1031,2015,3
Well-Formed Dependency to String translation with {BTG} Grammar,https://aclanthology.org/Y15-1032,2015,0
Large-scale Dictionary Construction via Pivot-based Statistical Machine Translation with Significance Pruning and Neural Network Features,https://aclanthology.org/Y15-1033,2015,5
Annotation and Classification of {F}rench Feedback Communicative Functions,https://aclanthology.org/Y15-1034,2015,7
Automatic conversion of sentence-end expressions for utterance characterization of dialogue systems,https://aclanthology.org/Y15-1035,2015,12
Auditory Synaesthesia and Near Synonyms: A Corpus-Based Analysis of sheng1 and yin1 in {M}andarin {C}hinese,https://aclanthology.org/Y15-1036,2015,4
System Utterance Generation by Label Propagation over Association Graph of Words and Utterance Patterns for Open-Domain Dialogue Systems,https://aclanthology.org/Y15-1037,2015,9
The Cross-modal Representation of Metaphors,https://aclanthology.org/Y15-1038,2015,0
Writing to Read: the Case of {C}hinese,https://aclanthology.org/Y15-1039,2015,6
Design of a Learner Corpus for Listening and Speaking Performance,https://aclanthology.org/Y15-1040,2015,0
Understanding Infants{'} Language Development in Relation to Levels of Consciousness: An Approach in Building up an Agent-based Model,https://aclanthology.org/Y15-1041,2015,0
Pivot-Based Topic Models for Low-Resource Lexicon Extraction,https://aclanthology.org/Y15-1042,2015,1
A Corpus-Based Study of zunshou and Its {E}nglish Equivalents,https://aclanthology.org/Y15-1043,2015,0
Self Syntactico-Semantic Enrichment of {LMF} Normalized Dictionaries,https://aclanthology.org/Y15-1044,2015,0
When Embodiment Meets {G}enerative {L}exicon: The Human Body Part Metaphors in Sinica Corpus,https://aclanthology.org/Y15-1045,2015,4
Degree Variables by Choose Degree in Izyooni {`}than{'}-Clauses,https://aclanthology.org/Y15-1046,2015,0
Not Voice but Case Identity in {VP} Ellipsis of {E}nglish,https://aclanthology.org/Y15-1047,2015,0
A Statistical Modeling of the Correlation between Island Effects and Working-memory Capacity for {L}2 Learners,https://aclanthology.org/Y15-1048,2015,0
De-verbalization and Nominal Categories in {M}andarin {C}hinese: A corpus-driven study in both Mainland {M}andarin and {T}aiwan {M}andarin,https://aclanthology.org/Y15-1049,2015,0
Zero Object Resolution in {K}orean,https://aclanthology.org/Y15-1050,2015,4
An Improved Hierarchical Word Sequence Language Model Using Directional Information,https://aclanthology.org/Y15-1051,2015,3
Neural Network Language Model for {C}hinese {P}inyin Input Method Engine,https://aclanthology.org/Y15-1052,2015,16
Real-time Detection and Sorting of News on Microblogging Platforms,https://aclanthology.org/Y15-1053,2015,3
Trouble information extraction based on a bootstrap approach from {T}witter,https://aclanthology.org/Y15-1054,2015,1
Using {T}witter Data to Infer Personal Values of {J}apanese Consumers,https://aclanthology.org/Y15-1055,2015,0
Distant-supervised Language Model for Detecting Emotional Upsurge on {T}witter,https://aclanthology.org/Y15-1056,2015,0
Hybrid Method of Semi-supervised Learning and Feature Weighted Learning for Domain Adaptation of Document Classification,https://aclanthology.org/Y15-1057,2015,4
Paraphrase Detection Based on Identical Phrase and Similar Word Matching,https://aclanthology.org/Y15-1058,2015,6
Multi-aspects Rating Prediction Using Aspect Words and Sentences,https://aclanthology.org/Y15-1059,2015,0
Understanding Rating Behaviour and Predicting Ratings by Identifying Representative Users,https://aclanthology.org/Y15-1060,2015,3
Cross-lingual Pseudo Relevance Feedback Based on Weak Relevant Topic Alignment,https://aclanthology.org/Y15-1061,2015,0
Corpus annotation with a linguistic analysis of the associations between event mentions and spatial expressions,https://aclanthology.org/Y15-1062,2015,0
Recognizing Complex Negation on {T}witter,https://aclanthology.org/Y15-1063,2015,3
