Unique Word,Year,Count,Fitted Value,Area Ratio
additive,1994,0,0.0012630838,0.0
additive,1995,0,0.002687625,7.961517494522248e-05
additive,1996,0,0.0054900823,0.0002351573793702515
additive,1997,1,0.010766207,0.0005544478924480259
additive,1998,0,0.02026846,0.0011597822054842685
additive,1999,0,0.03663128,0.002283390410008808
additive,2000,0,0.063556105,0.0042544726712540224
additive,2001,0,0.105861,0.007616930618469819
additive,2002,0,0.16927336,0.013071342939383225
additive,2003,0,0.25984523,0.021627774355332287
additive,2004,0,0.38292584,0.034453824462260314
additive,2005,0,0.5417366,0.05296773171675297
additive,2006,0,0.73575896,0.07859545973770245
additive,2007,1,0.9593045,0.11265543258857805
additive,2008,1,1.200746,0.15616398812540327
additive,2009,1,1.4428446,0.20943575306943518
additive,2010,0,1.664415,0.27219374185980194
additive,2011,0,1.843221,0.34302369455806325
additive,2012,0,1.9595973,0.41993429700636126
additive,2013,2,2.0,0.4999837723244861
additive,2014,1,1.9595973,0.5800657029936387
additive,2015,0,1.843221,0.6569557471831917
additive,2016,1,1.664415,0.7278062581401982
additive,2017,0,1.4428446,0.790567776940463
additive,2018,1,1.200746,0.8438360118745968
additive,2019,1,0.9593045,0.8873634156183013
additive,2020,2,0.73575896,0.9214045402622977
additive,2021,2,0.5417366,0.9470496321562983
additive,2022,4,0.38292584,0.9655461755377398
additive,2023,0,0.25984523,0.9783793723732224
additive,2024,0,0.16927336,0.9869286570606168
additive,2025,0,0.105861,0.9923819790032532
additive,2026,0,0.063556105,0.9957455273287461
additive,2027,0,0.03663128,0.9977128592203565
additive,2028,0,0.02026846,0.9988402177945158
additive,2029,0,0.010766207,0.9994425898296622
additive,2030,0,0.0054900823,0.9997648426206298
additive,2031,0,0.002687625,0.9999213325272294
additive,2032,0,0.0012630838,1.0
mace,1971,0,0.0013438124,0.0
mace,1972,0,0.0027450412,0.0001648233526008165
mace,1973,0,0.0053831036,0.00047585309920931675
mace,1974,0,0.01013423,0.0010871667506635486
mace,1975,0,0.01831564,0.0022020969971370766
mace,1976,0,0.031778052,0.004185914250522901
mace,1977,0,0.0529305,0.00753270100698684
mace,1978,0,0.08463668,0.013007186006611014
mace,1979,0,0.12992261,0.021544594475328326
mace,1980,0,0.19146292,0.03439057304583948
mace,1981,0,0.2708683,0.05289648710380049
mace,1982,0,0.36787948,0.07852638803111463
mace,1983,0,0.47965226,0.11261067230842244
mace,1984,0,0.600373,0.15608681606067637
mace,1985,0,0.7214223,0.20942462789782618
mace,1986,0,0.8322075,0.2721210381053222
mace,1987,0,0.9216105,0.34303650663723495
mace,1988,0,0.9797987,0.41989279874727714
mace,1989,1,1.0,0.5
mace,1990,0,0.9797987,0.5800779337151742
mace,1991,0,0.9216105,0.6569634933627649
mace,1992,0,0.8322075,0.7278703250338153
mace,1993,0,0.7214223,0.7905753721021738
mace,1994,0,0.600373,0.8439264401672333
mace,1995,0,0.47965226,0.8873893276915774
mace,1996,0,0.36787948,0.9214935615837617
mace,1997,0,0.2708683,0.9471035128961994
mace,1998,0,0.19146292,0.9656219902569907
mace,1999,0,0.12992261,0.9784554055246716
mace,2000,0,0.08463668,0.9869951748341352
mace,2001,0,0.0529305,0.9924672989930131
mace,2002,0,0.031778052,0.9958110311139284
mace,2003,0,0.01831564,0.997797903002863
mace,2004,0,0.01013423,0.9989092489557077
mace,2005,0,0.0053831036,0.9995241469007907
mace,2006,1,0.0027450412,0.999837599319808
mace,2007,0,0.0013438124,1.0
label set,1995,0,0.0013438124,0.0
label set,1996,0,0.0027450412,0.0001648233526008165
label set,1997,0,0.0053831036,0.00047585309920931675
label set,1998,0,0.01013423,0.0010871667506635486
label set,1999,0,0.01831564,0.0022020969971370766
label set,2000,0,0.031778052,0.004185914250522901
label set,2001,0,0.0529305,0.00753270100698684
label set,2002,0,0.08463668,0.013007186006611014
label set,2003,0,0.12992261,0.021544594475328326
label set,2004,0,0.19146292,0.03439057304583948
label set,2005,0,0.2708683,0.05289648710380049
label set,2006,0,0.36787948,0.07852638803111463
label set,2007,0,0.47965226,0.11261067230842244
label set,2008,0,0.600373,0.15608681606067637
label set,2009,0,0.7214223,0.20942462789782618
label set,2010,0,0.8322075,0.2721210381053222
label set,2011,0,0.9216105,0.34303650663723495
label set,2012,0,0.9797987,0.41989279874727714
label set,2013,1,1.0,0.5
label set,2014,0,0.9797987,0.5800779337151742
label set,2015,1,0.9216105,0.6569634933627649
label set,2016,1,0.8322075,0.7278703250338153
label set,2017,0,0.7214223,0.7905753721021738
label set,2018,1,0.600373,0.8439264401672333
label set,2019,1,0.47965226,0.8873893276915774
label set,2020,0,0.36787948,0.9214935615837617
label set,2021,0,0.2708683,0.9471035128961994
label set,2022,0,0.19146292,0.9656219902569907
label set,2023,0,0.12992261,0.9784554055246716
label set,2024,0,0.08463668,0.9869951748341352
label set,2025,0,0.0529305,0.9924672989930131
label set,2026,0,0.031778052,0.9958110311139284
label set,2027,0,0.01831564,0.997797903002863
label set,2028,0,0.01013423,0.9989092489557077
label set,2029,0,0.0053831036,0.9995241469007907
label set,2030,0,0.0027450412,0.999837599319808
label set,2031,0,0.0013438124,1.0
spam,2005,0,0.004079937,0.0
spam,2006,1,0.021601204,0.0004830492524764968
spam,2007,0,0.0915782,0.0022830078727836475
spam,2008,0,0.31088266,0.009384963541965436
spam,2009,1,0.8450664,0.029621668517269953
spam,2010,0,1.8393974,0.07867254960291745
spam,2011,1,3.2059016,0.17268112577884007
spam,2012,1,4.4741964,0.31744775340040626
spam,2013,5,5.0,0.5
spam,2014,2,4.4741964,0.6815015295899127
spam,2015,1,3.2059016,0.82731887422116
spam,2016,4,1.8393974,0.9225262688142657
spam,2017,1,0.8450664,0.97037833148273
spam,2018,1,0.31088266,0.990678624875787
spam,2019,2,0.0915782,0.9977169921272163
spam,2020,1,0.021601204,0.9993777103559346
spam,2021,2,0.004079937,1.0
processing pipeline,2001,0,0.0012630838,0.0
processing pipeline,2002,0,0.002687625,7.961517494522248e-05
processing pipeline,2003,0,0.0054900823,0.0002351573793702515
processing pipeline,2004,0,0.010766207,0.0005544478924480259
processing pipeline,2005,0,0.02026846,0.0011597822054842685
processing pipeline,2006,0,0.03663128,0.002283390410008808
processing pipeline,2007,0,0.063556105,0.0042544726712540224
processing pipeline,2008,0,0.105861,0.007616930618469819
processing pipeline,2009,0,0.16927336,0.013071342939383225
processing pipeline,2010,0,0.25984523,0.021627774355332287
processing pipeline,2011,0,0.38292584,0.034453824462260314
processing pipeline,2012,0,0.5417366,0.05296773171675297
processing pipeline,2013,1,0.73575896,0.07859545973770245
processing pipeline,2014,1,0.9593045,0.11265543258857805
processing pipeline,2015,0,1.200746,0.15616398812540327
processing pipeline,2016,1,1.4428446,0.20943575306943518
processing pipeline,2017,1,1.664415,0.27219374185980194
processing pipeline,2018,0,1.843221,0.34302369455806325
processing pipeline,2019,1,1.9595973,0.41993429700636126
processing pipeline,2020,2,2.0,0.4999837723244861
processing pipeline,2021,1,1.9595973,0.5800657029936387
processing pipeline,2022,1,1.843221,0.6569557471831917
processing pipeline,2023,0,1.664415,0.7278062581401982
processing pipeline,2024,0,1.4428446,0.790567776940463
processing pipeline,2025,0,1.200746,0.8438360118745968
processing pipeline,2026,0,0.9593045,0.8873634156183013
processing pipeline,2027,0,0.73575896,0.9214045402622977
processing pipeline,2028,0,0.5417366,0.9470496321562983
processing pipeline,2029,0,0.38292584,0.9655461755377398
processing pipeline,2030,0,0.25984523,0.9783793723732224
processing pipeline,2031,0,0.16927336,0.9869286570606168
processing pipeline,2032,0,0.105861,0.9923819790032532
processing pipeline,2033,0,0.063556105,0.9957455273287461
processing pipeline,2034,0,0.03663128,0.9977128592203565
processing pipeline,2035,0,0.02026846,0.9988402177945158
processing pipeline,2036,0,0.010766207,0.9994425898296622
processing pipeline,2037,0,0.0054900823,0.9997648426206298
processing pipeline,2038,0,0.002687625,0.9999213325272294
processing pipeline,2039,0,0.0012630838,1.0
prover,1997,0,0.0018946256,0.0
prover,1998,0,0.0040314374,7.961518044228083e-05
prover,1999,0,0.008235123,0.00023515737660711997
prover,2000,1,0.01614931,0.000554447872825616
prover,2001,0,0.03040269,0.0011597821647116662
prover,2002,0,0.054946918,0.002283390342884553
prover,2003,1,0.09533416,0.004254472592637829
prover,2004,0,0.1587915,0.007616930466091798
prover,2005,0,0.25391003,0.013071342576520956
prover,2006,1,0.38976783,0.021627773618951452
prover,2007,0,0.57438874,0.03445382316151288
prover,2008,0,0.8126049,0.052967730005950425
prover,2009,0,1.1036384,0.07859545761575867
prover,2010,0,1.4389567,0.11265542927443019
prover,2011,0,1.8011191,0.15616398392936323
prover,2012,0,2.164267,0.20943574976690016
prover,2013,0,2.4966226,0.2721937413622719
prover,2014,0,2.7648315,0.3430236955206956
prover,2015,1,2.939396,0.41993429883733907
prover,2016,3,3.0,0.4999837709900183
prover,2017,2,2.939396,0.580065701162661
prover,2018,0,2.7648315,0.6569557438184349
prover,2019,0,2.4966226,0.7278062586377281
prover,2020,2,2.164267,0.7905677789750729
prover,2021,4,1.8011191,0.8438360160706369
prover,2022,1,1.4389567,0.8873634187988071
prover,2023,0,1.1036384,0.9214045423842414
prover,2024,0,0.8126049,0.9470496335666454
prover,2025,0,0.57438874,0.9655461768384872
prover,2026,0,0.38976783,0.9783793731178764
prover,2027,0,0.25391003,0.9869286574234791
prover,2028,0,0.1587915,0.9923819791723244
prover,2029,0,0.09533416,0.9957455274073622
prover,2030,0,0.054946918,0.9977128592885591
prover,2031,0,0.03040269,0.9988402178352883
prover,2032,0,0.01614931,0.999442589842796
prover,2033,0,0.008235123,0.9997648426233929
prover,2034,0,0.0040314374,0.9999213325225051
prover,2035,0,0.0018946256,1.0
replacement,1994,0,0.0018946256,0.0
replacement,1995,0,0.0040314374,7.961518044228083e-05
replacement,1996,2,0.008235123,0.00023515737660711997
replacement,1997,0,0.01614931,0.000554447872825616
replacement,1998,0,0.03040269,0.0011597821647116662
replacement,1999,1,0.054946918,0.002283390342884553
replacement,2000,0,0.09533416,0.004254472592637829
replacement,2001,0,0.1587915,0.007616930466091798
replacement,2002,0,0.25391003,0.013071342576520956
replacement,2003,0,0.38976783,0.021627773618951452
replacement,2004,0,0.57438874,0.03445382316151288
replacement,2005,0,0.8126049,0.052967730005950425
replacement,2006,0,1.1036384,0.07859545761575867
replacement,2007,0,1.4389567,0.11265542927443019
replacement,2008,1,1.8011191,0.15616398392936323
replacement,2009,1,2.164267,0.20943574976690016
replacement,2010,0,2.4966226,0.2721937413622719
replacement,2011,2,2.7648315,0.3430236955206956
replacement,2012,2,2.939396,0.41993429883733907
replacement,2013,3,3.0,0.4999837709900183
replacement,2014,1,2.939396,0.580065701162661
replacement,2015,1,2.7648315,0.6569557438184349
replacement,2016,4,2.4966226,0.7278062586377281
replacement,2017,3,2.164267,0.7905677789750729
replacement,2018,0,1.8011191,0.8438360160706369
replacement,2019,2,1.4389567,0.8873634187988071
replacement,2020,0,1.1036384,0.9214045423842414
replacement,2021,5,0.8126049,0.9470496335666454
replacement,2022,0,0.57438874,0.9655461768384872
replacement,2023,0,0.38976783,0.9783793731178764
replacement,2024,0,0.25391003,0.9869286574234791
replacement,2025,0,0.1587915,0.9923819791723244
replacement,2026,0,0.09533416,0.9957455274073622
replacement,2027,0,0.054946918,0.9977128592885591
replacement,2028,0,0.03040269,0.9988402178352883
replacement,2029,0,0.01614931,0.999442589842796
replacement,2030,0,0.008235123,0.9997648426233929
replacement,2031,0,0.0040314374,0.9999213325225051
replacement,2032,0,0.0018946256,1.0
etc,1994,0,0.001139722,0.0
etc,1995,1,0.0025261675,3.6935128411010115e-05
