Unique Word,Year,Count,Slope
topical segmentation,2012,1,0.0
topical segmentation,2013,0,0.0
topical segmentation,2014,1,0.0
additive,1997,1,-0.4024659305876086
additive,1998,0,-0.42412274428414815
additive,1999,0,-0.4287819291397112
additive,2000,0,-0.36027774120246875
additive,2001,0,-0.23407112023043913
additive,2002,0,-0.07739874269316722
additive,2003,0,0.07686918468469833
additive,2004,0,0.19758349183432633
additive,2005,0,0.26220833537145116
additive,2006,0,0.26168642885396337
additive,2007,1,0.20217993493544767
additive,2008,1,0.10330761420601126
additive,2009,1,-0.00669751236975602
additive,2010,0,-0.09778044662876273
additive,2011,0,-0.1452315566038604
additive,2012,0,-0.1355706331936862
additive,2013,2,-0.06978671173139364
additive,2014,1,0.03681736002475702
additive,2015,0,0.15814413451328044
additive,2016,1,0.2633775629826813
additive,2017,0,0.32421818220753723
additive,2018,1,0.32160978991376993
additive,2019,1,0.25040245094289215
additive,2020,2,0.12086630835158707
additive,2021,2,-0.04331000863659096
additive,2022,4,-0.13037565903022386
spammers,2013,1,0.0
spammers,2014,0,0.0
spammers,2015,0,0.0
spammers,2016,1,0.0
mace,1989,1,-0.2600712534554688
mace,1990,0,-0.28465295628676485
mace,1991,0,-0.3063719498302816
mace,1992,0,-0.27462782428610244
mace,1993,0,-0.19873660232446932
mace,1994,0,-0.09869741184216305
mace,1995,0,0.0004443960113307971
mace,1996,0,0.0755385960679025
mace,1997,0,0.11156880837252796
mace,1998,0,0.10540730983135263
mace,1999,0,0.06605247359612988
mace,2000,0,0.011360747015464731
mace,2001,0,-0.037683939146377715
mace,2002,0,-0.06341004490800496
mace,2003,0,-0.05667355962743435
mace,2004,0,-0.01931313132054817
mace,2005,0,0.0368356308091134
mace,2006,1,0.09399702857560553
mace,2007,0,0.1342845118098103
mace,2008,0,0.14547516191971369
mace,2009,0,0.12493269570912274
mace,2010,0,0.08046028968474139
mace,2011,1,0.02781378655335537
mace,2012,1,-0.014362107574237837
mace,2013,1,-0.030610729837636186
mace,2014,0,-0.013863121637386677
mace,2015,1,0.03188050300918249
mace,2016,1,0.09227598548765242
mace,2017,0,0.14662522258402172
mace,2018,1,0.17399053863667913
mace,2019,1,0.1596283127270146
mace,2020,0,0.09980868554236766
mace,2021,2,0.0035394775566093273
mace,2022,3,-0.05178866732397336
mutant,2015,1,0.0
mutant,2016,0,0.0
mutant,2017,0,0.0
mutant,2018,0,0.0
mutant,2019,0,0.0
mutant,2020,1,0.0
condolence,2014,1,0.0
condolence,2015,0,0.0
condolence,2016,0,0.0
condolence,2017,0,0.0
condolence,2018,0,0.0
condolence,2019,0,0.0
condolence,2020,1,0.0
active learning framework,2013,1,-0.25
active learning framework,2014,0,-0.30177669529663687
active learning framework,2015,0,-0.30177669529663687
active learning framework,2016,0,-0.12499999999999999
active learning framework,2017,0,0.125
active learning framework,2018,0,0.30177669529663687
active learning framework,2019,0,0.30177669529663687
active learning framework,2020,1,0.25
chren,2020,1,0.0
chren,2021,1,0.0
approval,2020,1,0.0
approval,2021,0,0.0
approval,2022,2,0.0
label set,2013,1,0.0
label set,2014,0,0.0
label set,2015,1,0.0
label set,2016,1,0.0
label set,2017,0,0.0
label set,2018,1,0.0
label set,2019,1,0.0
spam,2000,2,-0.09641492548163111
spam,2001,1,-0.13198946175690268
spam,2002,0,-0.206493823649737
spam,2003,1,-0.2691425494304145
spam,2004,0,-0.2857085509618047
spam,2005,0,-0.23340630740410703
spam,2006,1,-0.10954595389927733
spam,2007,0,0.06604950211892614
spam,2008,0,0.25575792751690385
spam,2009,1,0.41463418729485974
spam,2010,0,0.5034415306506187
spam,2011,1,0.5002011921916028
spam,2012,1,0.40666683525737146
spam,2013,5,0.24770905083285633
spam,2014,2,0.06381008687842282
spam,2015,1,-0.10097999527489243
spam,2016,4,-0.2118674412978515
spam,2017,1,-0.25294172820903826
spam,2018,1,-0.23066383977978044
spam,2019,2,-0.1702350316323058
spam,2020,1,-0.10612697303226248
spam,2021,2,-0.07767304757759308
intermediate layers,2020,1,0.0
intermediate layers,2021,1,0.0
ent-desc,2010,1,-0.10628817945420238
ent-desc,2011,0,-0.1425593961911436
ent-desc,2012,0,-0.18671310164105798
ent-desc,2013,0,-0.17158671657167124
ent-desc,2014,0,-0.10198276136458406
ent-desc,2015,0,0.0
ent-desc,2016,0,0.10198276136458405
ent-desc,2017,0,0.17158671657167124
ent-desc,2018,0,0.186713101641058
ent-desc,2019,0,0.14255939619114366
ent-desc,2020,1,0.10628817945420249
memory bottleneck,2002,1,-0.08333333333333331
memory bottleneck,2003,0,-0.11383545031536985
memory bottleneck,2004,0,-0.15550211698203653
memory bottleneck,2005,0,-0.15550211698203656
memory bottleneck,2006,0,-0.11383545031536985
memory bottleneck,2007,0,-0.04166666666666667
memory bottleneck,2008,0,0.041666666666666644
memory bottleneck,2009,0,0.11383545031536987
memory bottleneck,2010,0,0.1555021169820365
memory bottleneck,2011,0,0.15550211698203653
memory bottleneck,2012,0,0.11383545031536989
memory bottleneck,2013,1,0.08333333333333331
totto,2020,1,0.0
totto,2021,0,0.0
totto,2022,1,0.0
risk prediction,2013,1,-0.4381966011250107
risk prediction,2014,0,-0.4045084971874738
risk prediction,2015,0,-0.2663118960624632
risk prediction,2016,0,-0.026393202250021043
risk prediction,2017,0,0.22360679774997902
risk prediction,2018,0,0.38819660112501053
risk prediction,2019,2,0.4045084971874737
risk prediction,2020,0,0.2663118960624632
risk prediction,2021,1,0.026393202250021064
risk prediction,2022,2,-0.10901699437494727
hubs,2013,1,0.0
hubs,2014,0,0.0
hubs,2015,0,0.0
hubs,2016,0,0.0
hubs,2017,0,0.0
hubs,2018,0,0.0
hubs,2019,1,0.0
weka,2016,1,0.0
weka,2017,0,0.0
