Unique Word,Year,Count,Slope
rees,1980,2,-2.6124982130957477
rees,1981,0,-1.9160950028069084
rees,1982,2,-0.5552329372266663
rees,1983,1,0.5200956168396451
rees,1984,0,1.0005207509651703
rees,1985,1,0.8685995808905641
rees,1986,0,0.3727263916829294
rees,1987,1,-0.11940423330458305
rees,1988,2,-0.3107953660120627
rees,1989,1,-0.11432925968067831
rees,1990,1,0.3240904407665116
rees,1991,3,0.7236441164580247
rees,1992,6,0.8324112837058668
rees,1993,2,0.5699179395147296
rees,1994,3,0.07438352358530653
rees,1995,2,-0.36918564720992175
rees,1996,1,-0.482117940871154
rees,1997,3,-0.14630696482158534
rees,1998,9,0.521822623102628
rees,1999,3,1.2186267997142375
rees,2000,6,1.6010404526632978
rees,2001,3,1.4618974725001315
rees,2002,7,0.8437525915624415
rees,2003,8,0.030893272237007885
rees,2004,14,-0.5809671509867842
rees,2005,3,-0.6763299322557144
rees,2006,10,-0.17940873989191175
rees,2007,7,0.698718164925693
rees,2008,9,1.5521263507810845
rees,2009,10,1.9701655028331224
rees,2010,7,1.735379238678842
rees,2011,15,0.9328949067804855
rees,2012,18,-0.08411320234324737
rees,2013,13,-0.859540443618009
rees,2014,13,-1.0531371364977131
rees,2015,11,-0.6085877222655771
rees,2016,12,0.21105151606125094
rees,2017,11,0.9403246385074491
rees,2018,9,1.1280716194887663
rees,2019,13,0.553048029825371
rees,2020,18,-0.6629322617458566
rees,2021,21,-2.098303531063099
rees,2022,6,-3.2124476152511408
rees,2023,1,-3.6215359566614005
neu,1973,1,-80.260212855403
neu,1974,0,-54.814925565751096
neu,1975,1,-8.394985630274046
neu,1976,0,24.348949565096955
neu,1977,0,37.402794999235184
neu,1978,0,31.6509269802056
neu,1979,0,13.731397245866003
neu,1980,0,-6.885114607645312
neu,1981,0,-21.467426388837605
neu,1982,0,-24.9683176523028
neu,1983,0,-17.36505733768163
neu,1984,1,-3.051899532212442
neu,1985,0,11.337802243562674
neu,1986,0,19.75510295160827
neu,1987,0,19.099087326864097
neu,1988,0,10.251996236266663
neu,1989,0,-2.5323780567657224
neu,1990,4,-13.55859771004205
neu,1991,2,-18.1132136407768
neu,1992,3,-14.395625021181996
neu,1993,0,-4.194888660998324
neu,1994,5,7.931814095830469
neu,1995,2,16.619980015515196
neu,1996,1,17.984941515654082
neu,1997,4,11.29427823975697
neu,1998,7,-0.6688887971387132
neu,1999,1,-12.720701813518495
neu,2000,4,-19.43937469991673
neu,2001,1,-17.50848304841604
neu,2002,5,-7.2727552925989185
neu,2003,3,7.1780108002656675
neu,2004,4,19.51478116503145
neu,2005,3,23.746575383547487
neu,2006,4,16.890982976934733
neu,2007,3,0.6613377083525158
neu,2008,2,-18.58998563097129
neu,2009,1,-31.805634522000993
neu,2010,4,-30.454900974600037
neu,2011,3,-9.948858532164918
neu,2012,15,28.022392507849553
neu,2013,19,75.18067682899613
neu,2014,49,118.6545337530397
neu,2015,131,144.7462601144102
neu,2016,366,143.28605946979405
neu,2017,514,111.12710173117537
neu,2018,715,53.57099358556218
neu,2019,639,-16.82476056899975
neu,2020,650,-83.73988196474983
neu,2021,515,-131.7956224752933
neu,2022,271,-150.97059916035255
neu,2023,2,-152.5411546814168
romanian texts,2008,1,0.0
romanian texts,2009,0,0.0
romanian texts,2010,0,0.0
romanian texts,2011,0,0.0
romanian texts,2012,0,0.0
romanian texts,2013,1,0.0
state of the union,2005,1,0.0
state of the union,2006,1,0.0
multiple asr hypotheses,2020,1,0.0
multiple asr hypotheses,2021,1,0.0
machine teaching,2020,1,0.0
machine teaching,2021,1,0.0
semi-automatic evaluation,2001,1,0.0
semi-automatic evaluation,2002,0,0.0
semi-automatic evaluation,2003,0,0.0
semi-automatic evaluation,2004,0,0.0
semi-automatic evaluation,2005,0,0.0
semi-automatic evaluation,2006,0,0.0
semi-automatic evaluation,2007,1,0.0
open language archives community,2002,1,0.0
open language archives community,2003,0,0.0
open language archives community,2004,0,0.0
open language archives community,2005,0,0.0
open language archives community,2006,1,0.0
large-scale lfg,2006,1,0.06377532802661523
large-scale lfg,2007,0,0.031887664013307615
large-scale lfg,2008,0,-0.03188766401330767
large-scale lfg,2009,1,-0.08074239965618638
large-scale lfg,2010,1,-0.09181686914811885
large-scale lfg,2011,0,-0.059929205134811175
large-scale lfg,2012,0,-2.7755575615628914e-17
large-scale lfg,2013,0,0.05992920513481115
large-scale lfg,2014,1,0.08592426701048028
bite,1996,1,-0.4593675795535246
bite,1997,1,-0.5085867818122761
bite,1998,3,-0.5699410799118617
bite,1999,1,-0.5415593408693186
bite,2000,0,-0.40403330605568594
bite,2001,1,-0.16770311219429623
bite,2002,0,0.12164106154619576
bite,2003,0,0.391804987883885
bite,2004,1,0.566309236271393
bite,2005,2,0.5916159960523719
bite,2006,3,0.45843362919218755
bite,2007,2,0.20780683462580796
bite,2008,1,-0.08135110238112797
bite,2009,3,-0.3190027336733948
bite,2010,3,-0.43476806258783973
bite,2011,2,-0.40084705275516175
bite,2012,1,-0.23855805818205622
bite,2013,0,-0.006855432567662079
bite,2014,0,0.22146149281210814
bite,2015,2,0.3855329651992562
bite,2016,4,0.453951114434173
bite,2017,2,0.42820223546227665
bite,2018,3,0.3329088893693961
bite,2019,1,0.1994699112845486
bite,2020,2,0.0518993846241429
bite,2021,6,-0.09849959192131164
bite,2022,4,-0.173781049279075
bimorphisms,2006,1,-0.10628817945420238
bimorphisms,2007,0,-0.1425593961911436
bimorphisms,2008,0,-0.18671310164105798
bimorphisms,2009,0,-0.17158671657167124
bimorphisms,2010,0,-0.10198276136458406
bimorphisms,2011,0,0.0
bimorphisms,2012,0,0.10198276136458405
bimorphisms,2013,0,0.17158671657167124
bimorphisms,2014,0,0.186713101641058
bimorphisms,2015,0,0.14255939619114366
bimorphisms,2016,1,0.10628817945420249
scoring tool,2008,1,-0.16167585939405926
scoring tool,2009,0,-0.17025323616107202
scoring tool,2010,0,-0.15901926167112962
scoring tool,2011,0,-0.0972977951770156
scoring tool,2012,0,-0.004684966187568459
scoring tool,2013,0,0.08941530646404239
scoring tool,2014,0,0.15512685109168525
scoring tool,2015,1,0.17158671657167124
scoring tool,2016,0,0.13356901191395681
scoring tool,2017,0,0.053144089727101246
scoring tool,2018,1,0.00488275194962573
dialog corpus,2000,2,-0.13290315485195203
dialog corpus,2001,0,-0.13672094361153422
dialog corpus,2002,0,-0.12825865617525115
dialog corpus,2003,0,-0.09041385629358459
dialog corpus,2004,0,-0.03185633154014453
dialog corpus,2005,0,0.033999094858729845
dialog corpus,2006,1,0.09206573835897933
dialog corpus,2007,1,0.12904123071361032
dialog corpus,2008,1,0.13645493222716534
dialog corpus,2009,0,0.11260845322767765
dialog corpus,2010,0,0.06296473467270419
dialog corpus,2011,0,-0.0011034457884745996
dialog corpus,2012,2,-0.03501661402210554
inverting,2007,1,-0.06645157742597607
inverting,2008,0,-0.09206573835897935
inverting,2009,0,-0.12981453685935215
inverting,2010,0,-0.13782438940000885
inverting,2011,0,-0.11426033529307236
inverting,2012,0,-0.06452061535680517
inverting,2013,0,0.0
inverting,2014,0,0.06452061535680519
inverting,2015,0,0.11426033529307236
inverting,2016,0,0.13782438940000888
inverting,2017,0,0.12981453685935215
inverting,2018,0,0.09206573835897933
inverting,2019,1,0.06645157742597607
harem,2006,1,-0.0381966011250105
harem,2007,0,-0.06909830056250524
harem,2008,0,-0.1118033988749895
harem,2009,0,-0.1118033988749895
harem,2010,1,-0.06909830056250525
harem,2011,0,-1.3877787807814457e-17
harem,2012,0,0.06909830056250525
harem,2013,0,0.11180339887498951
harem,2014,0,0.1118033988749895
harem,2015,1,0.09999999999999998
evalb,2008,1,0.0
evalb,2009,0,0.0
evalb,2010,0,0.0
evalb,2011,0,0.0
evalb,2012,0,0.0
evalb,2013,0,0.0
evalb,2014,1,0.0
current projects,2004,1,0.0
current projects,2005,0,0.0
current projects,2006,1,0.0
corpus variation,2001,1,0.0
corpus variation,2002,0,0.0
corpus variation,2003,0,0.0
corpus variation,2004,0,0.0
corpus variation,2005,0,0.0
corpus variation,2006,1,0.0
acquiring meaning,1986,1,-0.04412571867195081
acquiring meaning,1987,0,-0.061632314163700824
acquiring meaning,1988,0,-0.0886262449143637
acquiring meaning,1989,0,-0.0980265505185624
acquiring meaning,1990,0,-0.08896122212042157
acquiring meaning,1991,0,-0.0648015653499674
acquiring meaning,1992,0,-0.03220022708144155
acquiring meaning,1993,0,0.0006668127905213803
acquiring meaning,1994,0,0.02618759300677464
acquiring meaning,1995,0,0.0391851239446092
acquiring meaning,1996,0,0.03809171154979529
acquiring meaning,1997,0,0.02513804437622265
acquiring meaning,1998,0,0.005534237045531364
acquiring meaning,1999,0,-0.014111424601873757
acquiring meaning,2000,0,-0.027690748123063616
acquiring meaning,2001,0,-0.031287973456699494
acquiring meaning,2002,0,-0.024207415404426908
acquiring meaning,2003,0,-0.00906532839814084
acquiring meaning,2004,0,0.009065328398140803
acquiring meaning,2005,0,0.024207415404426936
acquiring meaning,2006,0,0.03128797345669952
acquiring meaning,2007,0,0.027690748123063613
acquiring meaning,2008,0,0.014111424601873743
acquiring meaning,2009,0,-0.005534237045531382
acquiring meaning,2010,0,-0.025138044376222662
acquiring meaning,2011,0,-0.03809171154979528
acquiring meaning,2012,0,-0.03918512394460919
acquiring meaning,2013,0,-0.026187593006774645
acquiring meaning,2014,0,-0.0006668127905213803
acquiring meaning,2015,0,0.03220022708144156
acquiring meaning,2016,0,0.06480156534996741
acquiring meaning,2017,0,0.08896122212042157
acquiring meaning,2018,0,0.0980265505185624
acquiring meaning,2019,0,0.08862624491436372
acquiring meaning,2020,0,0.061632314163700797
acquiring meaning,2021,1,0.04412571867195075
automatic titling,2011,1,0.0
automatic titling,2012,1,0.0
philipp koehn,2010,1,-0.25
philipp koehn,2011,0,-0.30177669529663687
philipp koehn,2012,0,-0.30177669529663687
philipp koehn,2013,0,-0.12499999999999999
