Unique Word,Year,Count,Fitted Value,Area Ratio
resource-light approach,2004.0,1,1.0,0.9937611653555061
resource-light approach,2007.0,1,0.64466506,0.9937611653555061
nell,2007.0,2,6.3330445,0.6954728571090147
resource-light approach,2011.0,1,0.09160733,0.9937611653555061
nell,2008.0,3,6.5035353,0.6954728571090147
resource-light approach,2012.0,1,0.044071097,0.9937611653555061
nell,2009.0,3,6.651377,0.6954728571090147
nell,2011.0,2,6.8724394,0.6954728571090147
nell,2012.0,7,6.9430165,0.6954728571090147
nell,2013.0,1,6.9857106,0.6954728571090147
nell,2014.0,7,7.0,0.6954728571090147
nell,2015.0,1,6.9857106,0.6954728571090147
nell,2016.0,4,6.9430165,0.6954728571090147
nell,2019.0,3,6.651377,0.6954728571090147
nell,2021.0,2,6.3330445,0.6954728571090147
nell,2022.0,1,6.141871,0.6954728571090147
short answers,2008.0,1,1.0,0.9995155324075866
short answers,2013.0,1,0.4993518,0.9995155324075866
short answers,2014.0,1,0.36787948,0.9995155324075866
short answers,2016.0,1,0.16901332,0.9995155324075866
short answers,2017.0,1,0.10539922,0.9995155324075866
short answers,2022.0,2,0.0043202383,0.9995155324075866
ssf,2008.0,2,0.7966759,0.9433102646208538
ssf,2011.0,1,1.5888867,0.9433102646208538
ssf,2014.0,2,2.0,0.9433102646208538
ssf,2015.0,1,1.9495118,0.9433102646208538
ssf,2019.0,1,1.0554241,0.9433102646208538
ssf,2021.0,1,0.5713841,0.9433102646208538
subevents,2016.0,1,1.0,0.9922514882134714
subevents,2019.0,1,0.3444558,0.9922514882134714
subevents,2021.0,1,0.051791657,0.9922514882134714
nynorsk,1990.0,1,1.0,0.9911023070833173
nynorsk,2009.0,1,0.24470249,0.9911023070833173
nynorsk,2017.0,1,0.058266923,0.9911023070833173
japanese word segmentation,1994.0,1,1.0,0.9959123721441882
japanese word segmentation,2002.0,1,0.73417133,0.9959123721441882
japanese word segmentation,2004.0,1,0.61703306,0.9959123721441882
japanese word segmentation,2018.0,1,0.061969325,0.9959123721441882
japanese word segmentation,2019.0,1,0.048913404,0.9959123721441882
japanese word segmentation,2021.0,1,0.029603884,0.9959123721441882
sentiment analysis,2004.0,3,1.6553587,0.6425021250367982
sentiment analysis,2005.0,2,2.775094,0.6425021250367982
sentiment analysis,2006.0,2,4.4997325,0.6425021250367982
sentiment analysis,2007.0,3,7.056986,0.6425021250367982
sentiment analysis,2008.0,5,10.704717,0.6425021250367982
sentiment analysis,2009.0,8,15.70561,0.6425021250367982
sentiment analysis,2010.0,16,22.287321,0.6425021250367982
sentiment analysis,2011.0,21,30.59035,0.6425021250367982
sentiment analysis,2012.0,33,40.610146,0.6425021250367982
sentiment analysis,2013.0,95,52.144463,0.6425021250367982
sentiment analysis,2014.0,89,64.75977,0.6425021250367982
sentiment analysis,2015.0,65,77.7904,0.6425021250367982
