Unique Word,Year,Count,Fitted Value,Area Ratio
medite,1984,0,0.0013438124,0.0
medite,1985,0,0.0027450412,0.0001648233526008165
medite,1986,0,0.0053831036,0.00047585309920931675
medite,1987,0,0.01013423,0.0010871667506635486
medite,1988,0,0.01831564,0.0022020969971370766
medite,1989,0,0.031778052,0.004185914250522901
medite,1990,0,0.0529305,0.00753270100698684
medite,1991,0,0.08463668,0.013007186006611014
medite,1992,0,0.12992261,0.021544594475328326
medite,1993,0,0.19146292,0.03439057304583948
medite,1994,0,0.2708683,0.05289648710380049
medite,1995,0,0.36787948,0.07852638803111463
medite,1996,0,0.47965226,0.11261067230842244
medite,1997,0,0.600373,0.15608681606067637
medite,1998,0,0.7214223,0.20942462789782618
medite,1999,0,0.8322075,0.2721210381053222
medite,2000,0,0.9216105,0.34303650663723495
medite,2001,0,0.9797987,0.41989279874727714
medite,2002,1,1.0,0.5
medite,2003,0,0.9797987,0.5800779337151742
medite,2004,1,0.9216105,0.6569634933627649
medite,2005,0,0.8322075,0.7278703250338153
medite,2006,1,0.7214223,0.7905753721021738
medite,2007,0,0.600373,0.8439264401672333
medite,2008,1,0.47965226,0.8873893276915774
medite,2009,0,0.36787948,0.9214935615837617
medite,2010,0,0.2708683,0.9471035128961994
medite,2011,0,0.19146292,0.9656219902569907
medite,2012,0,0.12992261,0.9784554055246716
medite,2013,0,0.08463668,0.9869951748341352
medite,2014,0,0.0529305,0.9924672989930131
medite,2015,1,0.031778052,0.9958110311139284
medite,2016,0,0.01831564,0.997797903002863
medite,2017,0,0.01013423,0.9989092489557077
medite,2018,0,0.0053831036,0.9995241469007907
medite,2019,0,0.0027450412,0.999837599319808
medite,2020,0,0.0013438124,1.0
ssr,2004,0,0.0011810076,0.0
ssr,2005,1,0.00347769,8.761957087710708e-05
ssr,2006,0,0.009453332,0.00030775855973655755
ssr,2007,0,0.023721159,0.0009057028570952729
ssr,2008,2,0.054946918,0.0023049509477431535
ssr,2009,0,0.11749172,0.00544995854037108
ssr,2010,0,0.23191419,0.011794433436246884
ssr,2011,0,0.4225753,0.023864921732686516
ssr,2012,1,0.71078324,0.04480826787442573
ssr,2013,1,1.1036384,0.07860540779721964
ssr,2014,0,1.5818772,0.12890662443941112
ssr,2015,0,2.093029,0.19792013362120098
ssr,2016,1,2.5564313,0.28576849459933884
ssr,2017,1,2.8823686,0.38849092566432497
ssr,2018,3,3.0,0.5
ssr,2019,1,2.8823686,0.6113715151554391
ssr,2020,2,2.5564313,0.714231505400661
ssr,2021,4,2.093029,0.8021082440973543
ssr,2022,8,1.5818772,0.8710933755605887
ssr,2023,0,1.1036384,0.9214986840076754
ssr,2024,0,0.71078324,0.9551917321255742
ssr,2025,0,0.4225753,0.9761796144924365
ssr,2026,0,0.23191419,0.988205566563753
ssr,2027,0,0.11749172,0.9945381225431836
ssr,2028,0,0.054946918,0.9976950490522568
ssr,2029,0,0.023721159,0.9990764443263755
ssr,2030,0,0.009453332,0.9996922414402634
ssr,2031,0,0.00347769,0.9999094518593497
ssr,2032,0,0.0011810076,1.0
robo,1993,0,0.001851147,0.0
robo,1994,0,0.004273957,1.645617366770061e-05
robo,1995,0,0.009473128,5.0903750757907174e-05
robo,1996,0,0.020157186,0.0001280548024745234
robo,1997,0,0.04117562,0.00028603719059005746
robo,1998,2,0.080746554,0.0006052952034514923
robo,1999,0,0.15201345,0.0012105678790997648
robo,2000,0,0.2747346,0.0023340616735244056
robo,2001,0,0.4766708,0.004304943291609389
robo,2002,0,0.79395753,0.007667059048137507
robo,2003,4,1.2695502,0.013120916187047567
robo,2004,2,1.9488392,0.021676476471536078
robo,2005,0,2.8719437,0.034501220682233866
robo,2006,4,4.0630245,0.05301324292825723
robo,2007,2,5.5181923,0.0786383622884405
robo,2008,1,7.1947837,0.11269486776097086
robo,2009,6,9.005595,0.15619899272935728
robo,2010,4,10.821335,0.20946533399379352
robo,2011,6,12.483112,0.27221693453799034
robo,2012,8,13.824157,0.3430396751281584
robo,2013,9,14.69698,0.4199424471948616
robo,2014,15,15.0,0.499983774777184
robo,2015,6,14.69698,0.5800575528051384
robo,2016,10,13.824157,0.6569397699336911
robo,2017,10,12.483112,0.7277830654620097
robo,2018,12,10.821335,0.7905381948160167
robo,2019,14,9.005595,0.8438010072706427
robo,2020,18,7.1947837,0.887323978607197
robo,2021,9,5.5181923,0.9213616377115595
robo,2022,8,4.0630245,0.9470041192772078
robo,2023,0,2.8719437,0.9654987793177663
robo,2024,0,1.9488392,0.9783306694110333
robo,2025,0,1.2695502,0.9868790838129524
robo,2026,0,0.79395753,0.9923318506362125
robo,2027,0,0.4766708,0.9956950567083906
robo,2028,0,0.2747346,0.9976621883555244
robo,2029,0,0.15201345,0.9987894321209003
robo,2030,0,0.080746554,0.9993917428174609
robo,2031,0,0.04117562,0.9997139628094099
robo,2032,0,0.020157186,0.9998704367894933
robo,2033,0,0.009473128,0.999949096249242
robo,2034,0,0.004273957,0.9999835742015427
robo,2035,0,0.001851147,1.0
labor,1987,1,0.0013575078,0.0
labor,1988,0,0.0031342353,1.6456173897193665e-05
labor,1989,1,0.006946961,5.090375106519432e-05
labor,1990,0,0.014781937,0.00012805480388581846
labor,1991,2,0.030195452,0.00028603718820683537
labor,1992,6,0.05921414,0.000605295194495643
labor,1993,3,0.11147653,0.0012105678834614122
labor,1994,4,0.20147203,0.0023340616705317106
labor,1995,2,0.3495586,0.004304943259644694
labor,1996,1,0.5822355,0.007667058965866552
labor,1997,2,0.9310035,0.013120916034306184
labor,1998,4,1.4291488,0.02167647651215704
labor,1999,1,2.1060922,0.03450122123623934
labor,2000,2,2.9795513,0.05301324397111236
labor,2001,2,4.0466743,0.0786383623930636
