Unique Word,Year,Count,Slope
dtag,2002,1,0.0
dtag,2003,0,0.0
dtag,2004,0,0.0
dtag,2005,1,0.0
exter,1988,1,-3.391146194153671
exter,1989,0,-2.841708979945807
exter,1990,0,-1.5699661004623984
exter,1991,0,-0.2333730005401102
exter,1992,0,0.6876592374518318
exter,1993,1,0.9509521127371741
exter,1994,0,0.628245388598264
exter,1995,0,0.03478644712151324
exter,1996,0,-0.44520221870148674
exter,1997,1,-0.5485285988779846
exter,1998,1,-0.24730520705399844
exter,1999,0,0.26229859401636163
exter,2000,2,0.6827499793812914
exter,2001,0,0.7808674218440533
exter,2002,1,0.509825841795165
exter,2003,1,0.02654060667868796
exter,2004,4,-0.40059651218853254
exter,2005,1,-0.5415834864009198
exter,2006,1,-0.33102879420579095
exter,2007,3,0.09721348588053569
exter,2008,0,0.4861933850559887
exter,2009,1,0.6029689215083238
exter,2010,1,0.37799834011843714
exter,2011,3,-0.040109712062964986
exter,2012,3,-0.34926141554278733
exter,2013,3,-0.2509692504458556
exter,2014,3,0.3772694784735737
exter,2015,1,1.383974607058624
exter,2016,3,2.377031360138875
exter,2017,6,2.8823722518501698
exter,2018,15,2.55920092359188
exter,2019,11,1.371523109537816
exter,2020,10,-0.36795978681654606
exter,2021,14,-2.1081850564725766
exter,2022,13,-2.9004826581397793
computational terminology,2002,1,0.01602702396919853
computational terminology,2003,0,-0.02954254897129488
computational terminology,2004,1,-0.11683612335020166
computational terminology,2005,0,-0.18004454328401004
computational terminology,2006,0,-0.19348539243153234
computational terminology,2007,0,-0.14962927345344967
computational terminology,2008,0,-0.062476780765571005
computational terminology,2009,0,0.03785878186294664
computational terminology,2010,0,0.11713114574328803
computational terminology,2011,0,0.15052917873739746
computational terminology,2012,0,0.13220615097842672
computational terminology,2013,0,0.07685271246615946
computational terminology,2014,1,0.012746965856524545
computational terminology,2015,0,-0.030705676576839314
computational terminology,2016,1,-0.0356302266455098
computational terminology,2017,0,-0.0031715975208040093
computational terminology,2018,0,0.04733734791954694
computational terminology,2019,0,0.08714049529573617
computational terminology,2020,1,0.10056185853254218
pese,1990,1,-0.15392495963627356
pese,1991,0,-0.194995741966101
pese,1992,0,-0.22463417722138015
pese,1993,0,-0.16159474608525082
pese,1994,0,-0.04881829759007554
pese,1995,0,0.051574620068715556
pese,1996,0,0.09224739818905235
pese,1997,0,0.0641126805010948
pese,1998,0,-0.0027757982144955284
pese,1999,0,-0.06006714193425082
pese,2000,0,-0.07083182614286995
pese,2001,0,-0.03080485138211331
pese,2002,0,0.03080485138211334
pese,2003,0,0.07083182614286995
pese,2004,0,0.06006714193425079
pese,2005,0,0.0027757982144955007
pese,2006,0,-0.06411268050109482
pese,2007,0,-0.09224739818905234
pese,2008,0,-0.05157462006871554
pese,2009,0,0.04881829759007557
pese,2010,0,0.16159474608525087
pese,2011,0,0.22463417722138015
pese,2012,0,0.19499574196610098
pese,2013,1,0.07477558411994525
pese,2014,1,-0.08605484028964902
pese,2015,0,-0.2126185086118149
pese,2016,0,-0.24265336363006207
pese,2017,0,-0.15904865613929198
pese,2018,0,2.7755575615628914e-17
pese,2019,0,0.15904865613929203
pese,2020,0,0.24265336363006207
pese,2021,0,0.21261850861181486
pese,2022,1,0.16773588918291493
exercise book,2005,1,0.0
exercise book,2006,0,0.0
exercise book,2007,0,0.0
exercise book,2008,1,0.0
tsc,1996,1,-0.8867400497563578
tsc,1997,0,-0.9221015147533126
tsc,1998,0,-0.9132280939599988
tsc,1999,0,-0.7585409602769978
tsc,2000,0,-0.4974715574395767
tsc,2001,0,-0.18911823646482828
tsc,2002,1,0.10051792654650316
tsc,2003,1,0.3125956100107784
tsc,2004,0,0.4078012731694458
tsc,2005,1,0.37439968362565124
tsc,2006,0,0.23027118400608443
tsc,2007,0,0.01852705731941401
tsc,2008,0,-0.2023329303878073
tsc,2009,0,-0.371590793615138
tsc,2010,0,-0.43996752205426837
tsc,2011,1,-0.38082193323244373
tsc,2012,0,-0.19647022579293746
tsc,2013,0,0.08175330710078363
tsc,2014,1,0.39973715667972337
tsc,2015,0,0.6918303307472281
tsc,2016,0,0.8947010366405848
tsc,2017,1,0.9608738906648053
tsc,2018,0,0.8690623510547149
tsc,2019,0,0.6290857585190963
tsc,2020,8,0.28030400668594035
tsc,2021,11,-0.11612538421784091
tsc,2022,4,-0.31757552968606717
resolving,2005,1,-0.11781193102378795
resolving,2006,0,-0.15366913572883212
resolving,2007,0,-0.18952634043387623
resolving,2008,0,-0.15661543679765136
resolving,2009,0,-0.07484979751854784
resolving,2010,0,0.015943832006653842
resolving,2011,0,0.07484979751854783
resolving,2012,0,0.07881933821028428
resolving,2013,0,0.032910903636224856
resolving,2014,0,-0.03291090363622488
resolving,2015,0,-0.07881933821028422
resolving,2016,0,-0.07484979751854783
resolving,2017,0,-0.01594383200665387
resolving,2018,0,0.07484979751854784
resolving,2019,0,0.1566154367976514
resolving,2020,0,0.18952634043387623
resolving,2021,0,0.15366913572883206
resolving,2022,1,0.11781193102378795
thot,2005,1,-0.13819660112501053
thot,2006,0,-0.18090169943749476
thot,2007,0,-0.22360679774997896
thot,2008,0,-0.18090169943749476
thot,2009,0,-0.06909830056250527
thot,2010,0,0.06909830056250527
thot,2011,0,0.18090169943749473
thot,2012,0,0.223606797749979
thot,2013,0,0.18090169943749476
thot,2014,1,0.13819660112501053
help system,1990,2,-0.025387875657726933
help system,1991,0,-0.04454806096250041
help system,1992,0,-0.07801893008329652
help system,1993,0,-0.09961212434227312
help system,1994,1,-0.10604027565629433
