Unique Word,Year,Count,Fitted Value,Area Ratio
event trigger,2098.0,0,0.0,1.0
event trigger,2099.0,0,0.0,0.9999990598522043
event trigger,2100.0,0,0.0,1.0
event trigger,2101.0,0,0.0,0.9999990598522043
event trigger,2102.0,0,0.0,1.0
event trigger,2103.0,0,0.0,0.9999990598522043
event trigger,2104.0,0,0.0,1.0
event trigger,2105.0,0,0.0,0.9999990598522043
event trigger,2106.0,0,0.0,1.0
event trigger,2107.0,0,0.0,0.9999990598522043
event trigger,2108.0,0,0.0,1.0
event trigger,2109.0,0,0.0,0.9999990598522043
event trigger,2110.0,0,0.0,1.0
event trigger,2111.0,0,0.0,0.9999990598522043
event trigger,2112.0,0,0.0,1.0
event trigger,2113.0,0,0.0,0.9999990598522043
event trigger,2114.0,0,0.0,1.0
event trigger,2115.0,0,0.0,0.9999990598522043
event trigger,2116.0,0,0.0,1.0
event trigger,2117.0,0,0.0,0.9999990598522043
event trigger,2118.0,0,0.0,1.0
event trigger,2119.0,0,0.0,0.9999990598522043
event trigger,2120.0,0,0.0,1.0
entité,1988.0,0,0.0017842079,0.0
entité,1989.0,0,0.00405462,8.918970876143029e-05
entité,1990.0,0,0.0087791635,0.0002727334610354729
entité,1991.0,0,0.0181115,0.0006780128446703361
entité,1992.0,0,0.035600305,0.001462427728752931
entité,1993.0,0,0.06667321,0.0030053829164798256
entité,1994.0,0,0.11897264,0.005752395388314158
entité,1995.0,0,0.2022745,0.010615344866782376
entité,1996.0,0,0.3276675,0.018540227171587823
entité,1997.0,0,0.50573593,0.031199559824119698
entité,1998.0,0,0.74372524,0.050051457831321804
entité,1999.0,0,1.042076,0.0772578080106158
entité,2000.0,0,1.3911837,0.11424033908636472
entité,2001.0,0,1.7695705,0.16250415723368963
entité,2002.0,0,2.1446154,0.2223290222648467
entité,2003.0,0,2.4764478,0.293000971013606
entité,2004.0,0,2.7246277,0.3727908485332261
entité,2005.0,0,2.8561656,0.45820692816745134
