Unique Word,Year,Ground Truth,Fitted Value,Area Ratio
mva,2003.0,0,0.0013808806,0.0
mva,2004.0,0,0.0043300474,0.00037593494531558034
mva,2005.0,0,0.012177528,0.0013551031236753853
mva,2006.0,0,0.030715337,0.004061338623858675
mva,2007.0,0,0.069483444,0.010330537625597519
mva,2008.0,0,0.14097345,0.023825347252115773
mva,2009.0,0,0.25652114,0.04938360808054105
mva,2010.0,0,0.41863817,0.09331659862275248
mva,2011.0,0,0.6127514,0.16101903647156346
mva,2012.0,0,0.80437714,0.25433207232113003
mva,2013.0,0,0.9470325,0.37066987470782425
mva,2014.0,1,1.0,0.4998217496199195
mva,2015.0,0,0.9470325,0.6293301252921756
mva,2016.0,1,0.80437714,0.7456046757720484
mva,2017.0,0,0.6127514,0.8389809635284364
mva,2018.0,0,0.41863817,0.9069018452460935
mva,2019.0,1,0.25652114,0.9506163919194589
mva,2020.0,0,0.14097345,0.9762714640704644
mva,2021.0,0,0.069483444,0.9896694623744025
mva,2022.0,1,0.030715337,0.9959062784004825
mva,2023.0,0,0.012177528,0.9986448968763246
mva,2024.0,0,0.0043300474,0.9996142600486594
mva,2025.0,0,0.0013808806,1.0
dragons,2006.0,0,0.0023435822,0.0
dragons,2007.0,0,0.008353734,0.0008255503529147592
dragons,2008.0,0,0.02564129,0.003158962692270063
dragons,2009.0,0,0.06777317,0.010048538114742303
dragons,2010.0,0,0.15425335,0.026361837748661836
dragons,2011.0,0,0.30232227,0.06080524837754954
dragons,2012.0,0,0.5102282,0.12276558100808964
dragons,2013.0,0,0.74151087,0.21906610777335273
dragons,2014.0,0,0.9279603,0.3493591879073831
dragons,2015.0,1,1.0,0.4996183796424403
dragons,2016.0,0,0.9279603,0.6506408120926169
dragons,2017.0,0,0.74151087,0.7809514684623786
dragons,2018.0,1,0.5102282,0.8772344189919103
dragons,2019.0,0,0.30232227,0.9396411830076307
dragons,2020.0,1,0.15425335,0.9736381622513383
dragons,2021.0,0,0.06777317,0.9899805759995742
dragons,2022.0,1,0.02564129,0.99684103730773
dragons,2023.0,0,0.008353734,0.9991450012610509
dragons,2024.0,0,0.0023435822,1.0
article linking,1994.0,0,0.9999509,0.0
article linking,1995.0,0,0.99995565,0.007939230459676658
article linking,1996.0,0,0.9999602,0.015878498147340537
article linking,1997.0,0,0.9999645,0.023817800696806012
article linking,1998.0,0,0.9999685,0.03175713637287029
