Unique Word,Year,Ground Truth,Fitted Value,Area Ratio
additive,1986.0,0,0.0012469495,0.0
additive,1987.0,0,0.002132421,4.796498276554477e-05
additive,1988.0,0,0.0035735823,0.0001263238900832177
additive,1989.0,0,0.005868689,0.0002583223789988756
additive,1990.0,0,0.009444636,0.0004716317710685723
additive,1991.0,0,0.014894841,0.000812659627829133
additive,1992.0,0,0.023019366,0.001342574738064405
additive,1993.0,0,0.03486239,0.0021553211234986
additive,1994.0,0,0.051740166,0.003369487848013137
additive,1995.0,0,0.075249754,0.005156226949394241
additive,1996.0,0,0.10724792,0.007722028850846756
additive,1997.0,1,0.14978883,0.011345331613855984
additive,1998.0,0,0.20501074,0.016346111271270444
additive,1999.0,0,0.27496684,0.023123802106004687
additive,2000.0,0,0.36140215,0.03211297313035227
additive,2001.0,0,0.46548724,0.04380764817735091
additive,2002.0,0,0.5875319,0.05871042271687785
additive,2003.0,0,0.72671115,0.07732355473669471
additive,2004.0,0,0.8808435,0.10011011566530449
additive,2005.0,0,1.0462666,0.1274357790427317
additive,2006.0,0,1.2178466,0.15956897279989776
additive,2007.0,1,1.389151,0.1965719583334093
additive,2008.0,1,1.5527909,0.23836392097876427
additive,2009.0,1,1.7009169,0.2845820125423487
additive,2010.0,0,1.825828,0.3347118815160081
additive,2011.0,0,1.9206281,0.3879583094916906
additive,2012.0,0,1.9798547,0.4434167550057822
additive,2013.0,2,2.0,0.4999971394037339
additive,2014.0,1,1.9798547,0.5565832449942175
additive,2015.0,0,1.9206281,0.6120370665732763
additive,2016.0,1,1.825828,0.6652881184839916
additive,2017.0,0,1.7009169,0.7154160831194626
additive,2018.0,1,1.5527909,0.7616360790212354
additive,2019.0,1,1.389151,0.8034291315921196
additive,2020.0,2,1.2178466,0.840431027200102
additive,2021.0,2,1.0462666,0.8725672941806618
additive,2022.0,4,0.8808435,0.8998898843346952
additive,2023.0,0,0.72671115,0.9226799488169336
additive,2024.0,0,0.5875319,0.9412895772831219
additive,2025.0,0,0.46548724,0.9561950364516365
additive,2026.0,0,0.36140215,0.9678870268696476
additive,2027.0,0,0.27496684,0.9768775569169206
additive,2028.0,0,0.20501074,0.9836538887287294
additive,2029.0,0,0.14978883,0.9886548696804431
additive,2030.0,0,0.10724792,0.9922779711491531
additive,2031.0,0,0.075249754,0.9948433060781462
additive,2032.0,0,0.051740166,0.9966305121519867
additive,2033.0,0,0.03486239,0.9978440145797575
additive,2034.0,0,0.023019366,0.9986574252619353
additive,2035.0,0,0.014894841,0.9991867628892113
additive,2036.0,0,0.009444636,0.9995283682289313
additive,2037.0,0,0.005868689,0.999741283698359
additive,2038.0,0,0.0035735823,0.9998736761099167
