Unique Word,Year,Ground Truth,Fitted Value,Area Ratio
calendar,1966.0,0,0.0025590367,0.0
calendar,1967.0,0,0.003597165,3.753761771648745e-05
calendar,1968.0,0,0.0050140955,8.927511129795909e-05
calendar,1969.0,0,0.0069306428,0.00016160076228279217
calendar,1970.0,0,0.009499545,0.00026096613165107335
calendar,1971.0,0,0.0129116215,0.00039676199351502934
calendar,1972.0,0,0.017402327,0.0005802667307251761
calendar,1973.0,0,0.023258533,0.0008268098109873253
calendar,1974.0,0,0.030825203,0.001154498133706716
calendar,1975.0,0,0.040511493,0.001587321640443581
calendar,1976.0,0,0.05279574,0.00215313891351555
calendar,1977.0,0,0.06822888,0.0028878899840783013
calendar,1978.0,0,0.08743515,0.0038325870591044975
calendar,1979.0,0,0.11110981,0.0050386796912660564
calendar,1980.0,0,0.14001265,0.006563820887486363
calendar,1981.0,0,0.17495678,0.00847821670056916
calendar,1982.0,0,0.21679173,0.010859048525800791
calendar,1983.0,0,0.26638103,0.013797328106584543
calendar,1984.0,0,0.32457298,0.017391082749616583
calendar,1985.0,0,0.39216614,0.021751866371418488
calendar,1986.0,4,0.46986842,0.026997154312503237
calendar,1987.0,1,0.558253,0.033255298629033966
calendar,1988.0,0,0.65770984,0.04065801877971209
calendar,1989.0,0,0.7683978,0.04934233797915435
calendar,1990.0,0,0.8901978,0.05944450143582191
calendar,1991.0,0,1.02267,0.07109742311802285
calendar,1992.0,0,1.165019,0.08442769190820677
calendar,1993.0,0,1.3160702,0.09954736213580033
calendar,1994.0,0,1.4742584,0.11655580961011079
calendar,1995.0,0,1.6376336,0.13552539035737185
calendar,1996.0,0,1.8038833,0.15650956825309678
calendar,1997.0,0,1.970374,0.17952296719623495
calendar,1998.0,0,2.1342115,0.20455643428721199
calendar,1999.0,0,2.2923179,0.23155315060497225
calendar,2000.0,0,2.4415221,0.2604301469175415
calendar,2001.0,0,2.5786662,0.2910531476246924
calendar,2002.0,0,2.700711,0.3232627371814167
calendar,2003.0,0,2.80485,0.3568512531212693
calendar,2004.0,0,2.8886156,0.39159053877890626
calendar,2005.0,0,2.949975,0.42721428538519324
calendar,2006.0,1,2.9874148,0.46344353932974797
calendar,2007.0,3,3.0,0.49997723427911617
calendar,2008.0,2,2.9874148,0.5365115708230966
calendar,2009.0,0,2.949975,0.5727402369623156
calendar,2010.0,1,2.8886156,0.6083645713739384
calendar,2011.0,1,2.80485,0.6431034146026622
calendar,2012.0,0,2.700711,0.6766923729714279
calendar,2013.0,0,2.5786662,0.7089017260491712
calendar,2014.0,0,2.4415221,0.7395249632353031
calendar,2015.0,0,2.2923179,0.7684019465851415
calendar,2016.0,0,2.1342115,0.7953986758656327
calendar,2017.0,0,1.970374,0.820432330007607
calendar,2018.0,0,1.8038833,0.843445541899748
calendar,2019.0,1,1.6376336,0.8644300464078359
calendar,2020.0,0,1.4742584,0.883399300542734
calendar,2021.0,0,1.3160702,0.9004081393219157
calendar,2022.0,0,1.165019,0.9155274182446379
calendar,2023.0,0,1.02267,0.928858072403489
calendar,2024.0,0,0.8901978,0.9405106087170229
calendar,2025.0,0,0.7683978,0.9506130981197448
calendar,2026.0,0,0.65770984,0.9592970913731326
calendar,2027.0,0,0.558253,0.9667000464278804
calendar,2028.0,0,0.46986842,0.9729579558403415
calendar,2029.0,0,0.39216614,0.9782033807381312
calendar,2030.0,0,0.32457298,0.9825640274032281
calendar,2031.0,0,0.26638103,0.986157832640284
calendar,2032.0,0,0.21679173,0.9890960616270439
calendar,2033.0,0,0.17495678,0.991476879232644
calendar,2034.0,0,0.14001265,0.9933912892653582
calendar,2035.0,0,0.11110981,0.9949163762861462
calendar,2036.0,0,0.08743515,0.9961225230937402
calendar,2037.0,0,0.06822888,0.9970671480067873
calendar,2038.0,0,0.05279574,0.997801971239329
calendar,2039.0,0,0.040511493,0.998367714745224
calendar,2040.0,0,0.030825203,0.9988006120191378
calendar,2041.0,0,0.023258533,0.9991282351041876
calendar,2042.0,0,0.017402327,0.9993748434221195
calendar,2043.0,0,0.0129116215,0.9995582959061595
calendar,2044.0,0,0.009499545,0.9996941440211935
calendar,2045.0,0,0.0069306428,0.9997934706911876
calendar,2046.0,0,0.0050140955,0.9998658350415468
calendar,2047.0,0,0.003597165,0.9999178347147868
calendar,2048.0,0,0.0025590367,0.9999551101528447
calendar,2049.0,0,0.0018052664,0.999981432637812
calendar,2050.0,0,0.0012628579,1.0
lapps,2012.0,0,0.0023417592,0.0
lapps,2013.0,0,0.018419363,0.0012683227395252194
lapps,2014.0,0,0.099574134,0.007151477339600187
lapps,2015.0,0,0.3699628,0.03390931820085856
lapps,2016.0,1,0.94473314,0.10995413564505256
lapps,2017.0,0,1.6580583,0.26755115759426035
lapps,2018.0,2,2.0,0.5
lapps,2019.0,0,1.6580583,0.730438551080175
lapps,2020.0,1,0.94473314,0.8900458643549474
lapps,2021.0,0,0.3699628,0.9689515297250728
lapps,2022.0,0,0.099574134,0.9928485226603997
lapps,2023.0,0,0.018419363,0.9981301364555217
lapps,2024.0,0,0.0023417592,1.0
logical analysis,1965.0,0,0.0018454159,0.0
logical analysis,1966.0,0,0.0033700324,9.59455453004925e-06
logical analysis,1967.0,0,0.0060047996,2.6160123696216234e-05
logical analysis,1968.0,0,0.010439704,5.5860178741234586e-05
logical analysis,1969.0,0,0.017709345,0.00010645796893487929
logical analysis,1970.0,0,0.029311758,0.0001916314760347835
logical analysis,1971.0,0,0.047337607,0.00033002833584376
logical analysis,1972.0,0,0.07459255,0.0005515063973665483
logical analysis,1973.0,4,0.11468578,0.0008946677461512665
logical analysis,1974.0,0,0.17204764,0.0014168597377078962
logical analysis,1975.0,0,0.25183305,0.0021881924613338503
logical analysis,1976.0,0,0.35966814,0.003304535121128658
logical analysis,1977.0,0,0.5012059,0.004876167917670041
logical analysis,1978.0,0,0.68148434,0.00704001571261858
logical analysis,1979.0,0,0.90411,0.009942850919968273
logical analysis,1980.0,1,1.1703422,0.013745728996412769
logical analysis,1981.0,0,1.4781957,0.01860593617620513
logical analysis,1982.0,0,1.8217137,0.024665650955306744
logical analysis,1983.0,1,2.1905885,0.03204223389542033
logical analysis,1984.0,1,2.5702753,0.04079720083839497
logical analysis,1985.0,0,2.9427056,0.05094687350718296
logical analysis,1986.0,3,3.287608,0.06241685636033029
logical analysis,1987.0,1,3.5843513,0.07507988824918463
logical analysis,1988.0,1,3.8141105,0.08871094252963974
logical analysis,1989.0,0,3.962093,0.10304597720905773
logical analysis,1990.0,4,4.0195155,0.11775704106029956
logical analysis,1991.0,2,3.9850695,0.13251117545276667
logical analysis,1992.0,0,3.8656683,0.1469797654042337
logical analysis,1993.0,2,3.67641,0.16087127411032545
logical analysis,1994.0,4,3.4397845,0.17397704299578282
logical analysis,1995.0,0,3.1842816,0.1861600019568321
logical analysis,1996.0,4,2.9425821,0.1974270017062122
logical analysis,1997.0,0,2.7495387,0.20787285834218888
logical analysis,1998.0,7,2.6400738,0.21776218660201474
logical analysis,1999.0,2,2.6470704,0.2274428457600691
logical analysis,2000.0,4,2.7992363,0.23741758701857243
logical analysis,2001.0,1,3.1189132,0.24824664949549174
logical analysis,2002.0,1,3.6198096,0.26058791960028616
logical analysis,2003.0,2,4.3047514,0.27510897398186845
logical analysis,2004.0,6,5.1636586,0.29247411378938215
logical analysis,2005.0,6,6.1720886,0.31328947300377225
logical analysis,2006.0,6,7.2907963,0.33802254120380276
logical analysis,2007.0,3,8.46671,0.3670094341696782
logical analysis,2008.0,4,9.635624,0.40031338305306063
logical analysis,2009.0,4,10.726634,0.437818260685165
logical analysis,2010.0,8,11.668039,0.47906229820810237
logical analysis,2011.0,9,12.394076,0.5234141586848585
logical analysis,2012.0,5,12.851646,0.5699395486432258
logical analysis,2013.0,13,13.006004,0.6176119728890421
logical analysis,2014.0,4,12.844577,0.6652645935486334
logical analysis,2015.0,4,12.378212,0.7117556492400448
logical analysis,2016.0,7,11.639713,0.7560234563926393
logical analysis,2017.0,6,10.679811,0.7971357057817938
logical analysis,2018.0,6,9.561293,0.8344207091320992
logical analysis,2019.0,11,8.352154,0.8673819638960459
logical analysis,2020.0,4,7.1188116,0.8958504128227627
logical analysis,2021.0,3,5.920285,0.9198089044223384
logical analysis,2022.0,1,4.804005,0.9395125354180104
logical analysis,2023.0,0,3.8035533,0.9553015459360151
logical analysis,2024.0,0,2.9383316,0.9676627339566551
logical analysis,2025.0,0,2.214813,0.9770972401257563
logical analysis,2026.0,0,1.6289147,0.9841261253076649
logical analysis,2027.0,0,1.1689196,0.9892381268098378
logical analysis,2028.0,0,0.8184566,0.9928606028877182
logical analysis,2029.0,0,0.55915457,0.9953725955435201
logical analysis,2030.0,0,0.37272868,0.9970645821959709
logical analysis,2031.0,0,0.24242575,0.9981841746788861
logical analysis,2032.0,0,0.1538472,0.9989003818275768
logical analysis,2033.0,0,0.095263205,0.9993530555457588
logical analysis,2034.0,0,0.05755537,0.9996277861449063
logical analysis,2035.0,0,0.03392904,0.9997938504510843
logical analysis,2036.0,0,0.019515598,0.9998893446807329
logical analysis,2037.0,0,0.010952605,0.999944632408619
logical analysis,2038.0,0,0.005997602,0.999974708475732
logical analysis,2039.0,0,0.0032045192,0.9999914175937002
logical analysis,2040.0,0,0.0016706024,1.0
clause types,2007.0,0,0.0021874912,0.0
clause types,2008.0,0,0.011108997,0.0013267724504939407
clause types,2009.0,0,0.043936934,0.006024300407430442
clause types,2010.0,0,0.13533528,0.022938678445505917
clause types,2011.0,0,0.32465246,0.06655510570295256
clause types,2012.0,0,0.60653067,0.15793263027875362
clause types,2013.0,0,0.8824969,0.3082492523149351
clause types,2014.0,1,1.0,0.4987270415369543
clause types,2015.0,0,0.8824969,0.6917507476850648
clause types,2016.0,1,0.60653067,0.8429667223891519
clause types,2017.0,1,0.32465246,0.9334448942970474
clause types,2018.0,1,0.13533528,0.9778048136365567
clause types,2019.0,0,0.043936934,0.9939756995925695
clause types,2020.0,1,0.011108997,0.9984943229632892
clause types,2021.0,0,0.0021874912,1.0
verse,1977.0,0,0.0024922716,0.0
verse,1978.0,0,0.0070538437,9.51418731952548e-06
verse,1979.0,0,0.018081103,3.24170473668708e-05
verse,1980.0,0,0.041975185,9.013517381273947e-05
verse,1981.0,0,0.08825284,0.0002146287048705511
verse,1982.0,0,0.16804801,0.00046450476996983515
verse,1983.0,0,0.28980538,0.0009124537823445992
verse,1984.0,0,0.45263502,0.001645588551205011
verse,1985.0,0,0.6402629,0.002733415236324253
verse,1986.0,0,0.8202326,0.004190298114108555
verse,1987.0,0,0.9516654,0.005971122674432201
verse,1988.0,1,1.0,0.007930063949325227
verse,1989.0,0,0.9516654,0.009893513769074422
verse,1990.0,0,0.8202326,0.01167328892005854
verse,1991.0,1,0.6402631,0.013131221325992955
verse,1992.0,0,0.4526361,0.014221737182259435
verse,1993.0,1,0.28981143,0.014952189769995334
verse,1994.0,1,0.16807905,0.015401722992803858
verse,1995.0,1,0.08839704,0.015650197172212284
verse,1996.0,0,0.042581804,0.015775112364664653
verse,1997.0,0,0.020392315,0.015835652535652965
verse,1998.0,1,0.015028893,0.01586816031006188
